street,latitude,longitude,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
Barrio El Cueto,43.5696113,-5.9677742,42,42,577,577,1,False
Calle Aserradores,43.5183539,-5.679964,53,53,1368,1368,1,False
Plaza Cofradía Amigos de los Quesos,43.3724697,-5.8288871,53,53,104,104,1,False
Camino del Pimpăn,43.5578839,-5.7130581,48,48,163,163,1,False
Calle Ramón del Valle Inclán,43.5189153,-5.6682775,48,48,971,971,1,False
Calle Doctor Pando y Valle,19.4222155,-99.1530398,21,21,58,58,1,False
Calle Playa de Merón,43.5399244,-5.6539075,17,23,421,311,0.972984,False
Camín de Gilledo,43.4983853,-5.6642233,49,49,209,209,1,False
Carretera Carbonera 11,43.5239062,-5.6678331,48,48,971,971,1,False
Avenida de San Agustín,43.5542823,-5.929739,20,26,338,260,0.970101,False
Parque Rafaela Lozana,43.5409163,-5.6922905,39,39,477,477,1,False
El Caleyón,28.45916,-16.4660379,62,62,135,135,1,False
Camín de Trubia a Fresno,43.4988,-5.7473133,117,117,194,194,1,False
Camino de Pantiga,43.5279725,-5.6011526,36,36,347,347,1,False
Camín de Ceares a Castiello,43.5177038,-5.6463226,104,104,45,45,1,False
Calle Pintor Martínez Abades,43.535374,-5.6417469,28,34,229,189,1,False
Camino del Rodriguero,43.5126243,-5.872394,59,59,853,853,1,False
Carretera del Cementeriu,43.5402673,-5.7153213,46,46,56,56,1,False
Calle Rufo Rendueles,43.5403303,-5.6502015,27,34,503,399,0.992068,False
Calle Campoamor,43.5338169,-5.6523749,28,28,258,258,1,False
Calle Albañiles,43.5174487,-5.6780641,53,53,1368,1368,1,False
Calle la Campa,43.5587213,-5.7062414,42,42,462,462,1,False
Camín Rial de San Pelayo,43.4708416,-5.6078253,47,47,1724,1724,1,False
Calle Pololo,43.5386014,-5.7090983,19,26,503,367,0.974448,False
Camín de la Peñona,43.4795803,-5.7446094,44,69,26,16,0.91,False
Camín del Pingán,43.458737,-5.7560442,100,100,636,636,1,False
Camín de La Gola d'Abaxo,43.5108451,-5.7024222,102,102,640,640,1,False
Plaza de la Institución Libre de Enseñanza,43.5390054,-5.6998881,19,26,503,367,0.974448,False
Puertu de Lluanco,32.2437442,-116.9257325,27,27,334,334,1,False
Plaza del Acuario,43.5253031,-5.6685766,22,29,181,137,0.992387,False
Eria de Valles,43.5169966,-5.6754721,48,48,971,971,1,False
Calle Julian Claveria,43.3766732,-5.798507,31,31,180,180,1,False
Subida al monte Fuxa,36.7281884,-4.411126,24,35,513,351,1,False
Parking Centro Comercial Los Fresnos,-18.0455081,-70.2539546,51,51,904,904,1,False
Calle Puerto de Tarna,43.5316127,-5.6741476,25,31,445,359,0.998583,False
Recreo,41.653499,-4.7467329,47,47,541,541,1,False
Calle Valladolid,43.5447206,-5.6629489,17,23,421,311,0.972984,False
Travesía Pedro Braña,43.5886735,-5.7702299,41,41,624,624,1,False
Juvería,43.5301696,-5.7139931,74,74,668,668,1,False
Magnus Blikstad,43.5359608,-5.6690042,36,36,314,314,1,False
Calle Don Víctor Quintanar,43.3617622,-5.8636737,18,26,1189,823,0.990789,False
Calle del Marqués de Pinar del Río,43.5595185,-5.932588,19,25,487,370,0.983601,False
Carretera a Villa,41.8785894,-5.0438218,92,92,332,332,1,False
Camino de los Quiñones,43.5440258,-5.6349539,49,49,463,463,1,False
Carretera de Pola de Siero,43.5270584,-5.6552407,22,33,329,219,0.996905,False
Camín de Las Presas,43.4960555,-5.6995711,29,29,171,171,1,False
Camín de les Cárcoves,43.4672021,-5.7077087,53,53,1368,1368,1,False
Plaza de la Poesía,41.6881684,-0.8749356,70,70,22,22,1,False
Camín del Cuetu,43.4711707,-5.7193573,62,62,840,840,1,False
Camino Santiago,41.75831,-4.9017571,87,87,687,687,1,False
Camino del Pontón,43.5256566,-5.7051011,74,74,668,668,1,False
Camín de Sastres,43.4861851,-5.6902351,53,53,1368,1368,1,False
Camín de la Cumbre,43.4795803,-5.7446094,44,69,26,16,0.91,False
Camino de Niceto Bernardo,43.5443815,-5.6426892,50,50,458,458,1,False
Calle Pedro Salinas,43.5234157,-5.6876068,37,37,101,101,1,False
Calle Joaquín Alonso Bonet,43.541734,-5.6675572,22,28,223,175,0.981612,False
Casa Blasco,43.491502,-5.7900773,116,116,228,228,1,False
"A-64 Langreo, Santander",43.3135871,-5.6767679,53,53,1464,1464,1,False
Calle Thomas Alva Edison,43.5109376,-5.6851498,100,100,636,636,1,False
Camín de la Ería,43.5169414,-5.7123787,117,117,194,194,1,False
Paseo de Veracruz,19.1695229,-96.2145702,49,56,609,533,1,False
